player_name,team,pos,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fantasy_points,replacement_fp,VORP
Russell Wilson,NYG,QB,2848.5,15.1,7.6,212.1,1.9,0,0,0,191.75,287.21,-95.46
Spencer Rattler,NO,QB,2831.4,15.2,9.8,235.2,1.2,0,0,0,185.18,287.21,-102.03
Joe Flacco,CIN,QB,2756.1,14.1,11.3,43.5,0.4,0,0,0,150.79,287.21,-136.42
Anthony Richardson Sr.,IND,QB,661.4,3.6,3.2,146.4,1.4,0,0,0,57.5,287.21,-229.71
Tyler Shough,NO,QB,884.8,4.3,3.5,75.3,0.4,0,0,0,55.52,287.21,-231.69
Jaxson Dart,NYG,QB,799.4,4.4,3.2,62.3,0.5,0,0,0,52.41,287.21,-234.8
Dillon Gabriel,CLE,QB,793.2,3.9,2.9,45.2,0.4,0,0,0,48.45,287.21,-238.76
Shedeur Sanders,CLE,QB,649.2,3.1,2.5,37.0,0.1,0,0,0,37.67,287.21,-249.54
Jalen Milroe,SEA,QB,130.4,0.8,0.8,110.9,1.0,0,0,0,23.91,287.21,-263.3
Mason Rudolph,PIT,QB,151.5,0.9,0.7,67.7,0.5,0,0,0,18.03,287.21,-269.18
Jimmy Garoppolo,LAR,QB,209.4,1.6,0.7,2.9,0.0,0,0,0,13.67,287.21,-273.54
Malik Willis,GB,QB,157.7,0.9,0.3,28.2,0.2,0,0,0,13.33,287.21,-273.88
Marcus Mariota,WAS,QB,172.5,1.1,0.3,22.3,0.0,0,0,0,12.93,287.21,-274.28
Jameis Winston,NYG,QB,199.3,1.3,0.7,11.3,0.0,0,0,0,12.9,287.21,-274.31
Tyrod Taylor,NYJ,QB,186.1,0.9,0.9,23.0,0.0,0,0,0,11.54,287.21,-275.67
Gardner Minshew II,KC,QB,151.7,1.0,0.5,7.8,0.0,0,0,0,9.85,287.21,-277.36
Mac Jones,SF,QB,172.3,0.9,0.7,7.5,0.0,0,0,0,9.84,287.21,-277.37
Zach Wilson,MIA,QB,153.7,0.9,0.5,10.3,0.0,0,0,0,9.78,287.21,-277.43
Joshua Dobbs,NE,QB,156.4,0.9,0.7,12.6,0.0,0,0,0,9.72,287.21,-277.49
Aidan O'Connell,LV,QB,158.5,1.0,0.5,3.0,0.0,0,0,0,9.64,287.21,-277.57
Jake Browning,CIN,QB,135.7,1.0,0.4,8.4,0.0,0,0,0,9.47,287.21,-277.74
Jacoby Brissett,ARI,QB,147.9,0.7,0.5,9.5,0.0,0,0,0,8.67,287.21,-278.54
Andy Dalton,CAR,QB,129.6,0.9,0.7,6.0,0.0,0,0,0,7.98,287.21,-279.23
Cooper Rush,BAL,QB,117.5,0.7,0.3,10.1,0.0,0,0,0,7.91,287.21,-279.3
Tanner McKee,PHI,QB,125.1,0.7,0.4,8.0,0.0,0,0,0,7.8,287.21,-279.41
Joe Milton III,DAL,QB,123.3,0.6,0.4,11.8,0.0,0,0,0,7.71,287.21,-279.5
Kenny Pickett,LV,QB,123.2,0.6,0.3,8.5,0.0,0,0,0,7.58,287.21,-279.63
Mitchell Trubisky,BUF,QB,118.1,0.7,0.4,7.9,0.0,0,0,0,7.51,287.21,-279.7
Kirk Cousins,ATL,QB,129.9,0.7,0.6,6.3,0.0,0,0,0,7.43,287.21,-279.78
Jarrett Stidham,DEN,QB,116.2,0.7,0.4,7.6,0.0,0,0,0,7.41,287.21,-279.8
Nick Mullens,JAC,QB,127.1,0.7,0.6,6.5,0.0,0,0,0,7.33,287.21,-279.88
Tyson Bagent,CHI,QB,115.0,0.6,0.4,11.1,0.0,0,0,0,7.31,287.21,-279.9
Davis Mills,HOU,QB,116.1,0.7,0.4,6.4,0.0,0,0,0,7.28,287.21,-279.93
Teddy Bridgewater,TB,QB,120.6,0.7,0.6,8.0,0.0,0,0,0,7.22,287.21,-279.99
Carson Wentz,MIN,QB,109.2,0.7,0.6,11.6,0.0,0,0,0,7.13,287.21,-280.08
Kyle Allen,DET,QB,107.6,0.6,0.1,1.3,0.0,0,0,0,6.63,287.21,-280.58
Sam Howell,PHI,QB,91.3,0.8,0.4,4.7,0.0,0,0,0,6.52,287.21,-280.69
Trey Lance,LAC,QB,110.9,0.4,0.4,12.5,0.0,0,0,0,6.49,287.21,-280.72
Drew Lock,SEA,QB,109.2,0.6,0.6,6.0,0.0,0,0,0,6.17,287.21,-281.04
Deshaun Watson,CLE,QB,99.0,0.5,0.5,12.0,0.0,0,0,0,6.16,287.21,-281.05
Brandon Allen,TEN,QB,110.2,0.6,0.6,5.0,0.0,0,0,0,6.11,287.21,-281.1
Quinn Ewers,MIA,QB,100.0,0.5,0.5,7.0,0.0,0,0,0,5.7,287.21,-281.51
Graham Mertz,HOU,QB,59.5,0.5,0.0,4.0,0.0,0,0,0,4.78,287.21,-282.43
Will Howard,PIT,QB,44.5,0.5,0.0,3.0,0.0,0,0,0,4.08,287.21,-283.13
Josh Johnson,WAS,QB,36.3,0.2,0.2,0.0,0.0,0,0,0,1.85,287.21,-285.36
 ,0,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Case Keenum,CHI,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Trevor Siemian,TEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
C.J. Beathard,DET,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Mike White,CAR,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
John Wolford,MIN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Brett Rypien,IND,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Easton Stick,ATL,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Tyler Huntley,BAL,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Shane Buechele,BUF,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Sam Ehlinger,DEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Sean Clifford,CIN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Will Levis,TEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Kyle McCord,PHI,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Stetson Bennett IV,LAR,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Bailey Zappe,CLE,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Skylar Thompson,PIT,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Chris Oladokun,KC,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Jake Haener,NO,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Clayton Tune,GB,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Riley Leonard,IND,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Tommy DeVito,NE,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Kurtis Rourke,SF,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
Cam Miller,LV,QB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,287.21,-287.21
